"","Nimi","Punktid15","Punktid16","Punktid17","Punktid18","pkokku"
"186","WINDBREAKER (2003)","14","7","0","0",21
"190","FP PALASI (2002)","13","7","1","0",21
"306","DOLCE VITA (2008)","4","5","6","6",21
"620","CIRCUS (2003)","0","3","18","0",21
"683","OSMAN S (2007)","0","1","0","20",21
"740","VERDINA (2007)","0","0","21","0",21
"914","BEL CANTO N (2014)","0","0","0","21",21
"157","COHUKE (2007)","20","0","0","0",20
"158","COSTNER (2007)","20","0","0","0",20
"797","ALVARSSIN (2008)","0","0","7","13",20
"840","LORD FONTAINE (2008)","0","0","2","18",20
"743","CALL ME BLACK (2013)","0","0","19.6","0",19.6
"359","EMILY (2009)","2.5","12","4","1",19.5
"560","SULLER (2010)","0","19","0","0",19
"584","RAKET (2008, SP)","0","11","0","8",19
"619","WISE GUY (2007, VP)","0","4","14","1",19
"655","AKTAION (2010)","0","1","0","18",19
"833","CLARISA (2012)","0","0","2","17",19
"915","GAMEELIA (2014)","0","0","0","19",19
"916","PELTSEBUL (2013)","0","0","0","19",19
"594","CC SKYFALL TT (2012)","0","7.2","0","11.6",18.8
"748","HABIBA K (2012)","0","0","16.8","2",18.8
